Id;Designator;Package;Quantity;Designation;Supplier and ref;wpisano;;;;;;;;;
234;Tranzystor Nmos;BSS138-7-F DIODES INCORPORATED;Sterowanie elementami wymagaj¹cego wy¿szego pr¹du;0,39;1,95;;https://www.tme.eu/pl/details/bss138-7-f/tranzystory-z-kanalem-n-smd/diodes-incorporated/;Potrzeba do wykonania uk³¹du PDM;5;Min 10 mozna zamowic, ale 5 u¿yte jest w uk³adzie, choæ tego typu elementy zawsze sie przydaj¹;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
235;Buzzer;BMT-0905XH05;Sygnalizowanie b³êdów uk³adu za pomoc¹ sygna³ów dŸwiêkowych;5,73;5,73;;https://www.tme.eu/pl/details/bmt-0905xh05/sygnalizatory-elektromag-z-generatorem/bestar/bmt0905xh05/;Potrzeba do wykonania uk³¹du PDM;1;minimalna do wykonania uk³adu;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
236;Tranzystor NPN;BC817-16-7-F;wspomaganie sterowania silnopr¹dowych tranzystorów;0,385;11,55;;https://www.tme.eu/pl/details/bc817-16-7-f/tranzystory-npn-smd/diodes-incorporated/bc817-16/;Potrzeba do wykonania uk³¹du PDM;30;Iloœæ analogiczna do PowerPmos;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
237;Wzmacniacz operacyjny pomiarowy;LT6106HS5#TRMPBF ANALOG DEVICES;Wzmacniacz operacyjny do poboru pr¹du;8,12;162,4;;https://www.tme.eu/pl/details/lt6106hs5pbf/wzmacniacze-operacyjne-smd/analog-devices/lt6106hs5-trmpbf/;Potrzeba do wykonania uk³¹du PDM;20;Potrzebne do pomiaru poborów pr¹du wyjœæ;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
238;Wzmacniacz operacyjny;MCP6001;Wzmacnianie sygna³ów wysokoimpedancyjnych;2,033;8,132;;https://www.tme.eu/pl/details/mcp6001t-i_lt/wzmacniacze-operacyjne-smd/microchip-technology/;Potrzeba do wykonania uk³¹du PDM;4;taka ilosc jest niezbêdna do wykonania uk³adu;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
239;Modu³ CAN;MCP2562-E/SN MICROCHIP TECHNOLOGY;Transiver Can;4,59;9,18;;https://www.tme.eu/pl/details/mcp2562-e_sn/uklady-scalone-interfejs-can/microchip-technology/;Potrzeba do wykonania uk³¹du PDM;2;Na uk³adzie znajduj¹ siê dwa kontrolery Can;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
240;Transoptor;SFH617A-3X007T VISHAY;izolacja we/wyj;1,0098;10,098;;https://www.tme.eu/pl/details/sfh617a-3x007t/transoptory-wyjscie-analogowe/vishay/;Potrzeba do wykonania uk³¹du PDM;10;Potrzeba 8 sztuk plus zapas;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
241;Z³¹cze karty micro SD;112A-TAAR-R03 ATTEND;Mo¿liwoœæ zapisu danych na karte micro SD;5,18;5,18;;https://www.tme.eu/pl/details/mcc-sdmicro/zlacza-do-kart/attend/112a-taar-r03/;Potrzeba do wykonania uk³¹du PDM;1;Potrzeba 1;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
242;Przemys³owa Karta SD;SDU2GCMGRB GOODRAM INDUSTRIAL;;32,47;32,47;;https://www.tme.eu/pl/details/sdu2gcmgrb/karty-pamieci/goodram-industrial/;Potrzeba do wykonania uk³¹du PDM;1;potrzeba 1;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
243;Przetwornica DC/DC 12V;AP1501A-12K5G-13 DIODES INCORPORATED;Potrzebujemy wytworzyæ napiêcie 12V do zasilania pompy wody;12,55;25,1;;https://www.tme.eu/pl/details/ap1501a-12k5g-13/regulatory-napiecia-uklady-dc-dc/diodes-incorporated/;Potrzeba do wykonania uk³¹du PDM;2;Potrzebny 1, 1 w zapasie bo nie jest to czêsto u¿ywany elementy;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
